course_id,branch,track,course_title,difficulty_level,provider,format,description,skills_taught,tools_covered,prerequisite_course_title,estimated_hours,rating,num_reviews,career_paths,industry_sectors
C000001,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Foundations,Beginner,Coursera,Video Course,"Aerodynamics & Fluid Mechanics taught as structured lectures with graded assignments and readings. Aimed at Aerospace Engineering students and career changers. Core skills: Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics. Tools: matlab, ansys fluent, xflr5, openvsp. Prepares you for work as Aerospace Systems Engineer.","Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics",matlab; ansys fluent; xflr5; openvsp,"Linear Algebra, Calculus & Probability: Foundations",12,4.6,882,Aerospace Systems Engineer,aerospace; defense
C000002,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Foundations — Hands-On Lab,Beginner,MITx,Interactive Lab,"This course is a foundational introduction to Aerodynamics & Fluid Mechanics for Aerospace Engineering learners -- a lab-first course: you build and break things every module, guided walkthroughs, no long lectures. You practise Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics, lab exercises, debugging practice using matlab, ansys fluent, xflr5, openvsp. Typical next roles: Aerospace Systems Engineer.","Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics; lab exercises; debugging practice",matlab; ansys fluent; xflr5; openvsp,"Linear Algebra, Calculus & Probability: Foundations",17,4.2,996,Aerospace Systems Engineer,aerospace; defense
C000003,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Foundations — Industry Practicum,Beginner,Udemy,Instructor-led Live,"A Aerospace Engineering-focused path through Aerodynamics & Fluid Mechanics. Industry case studies and production workflows taught by practitioners, live cohort. Covers Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics, industry case studies, production workflows, tooling; hands-on with matlab, ansys fluent, xflr5, openvsp. Graduates move into roles like Aerospace Systems Engineer.","Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics; industry case studies; production workflows; tooling",matlab; ansys fluent; xflr5; openvsp,"Linear Algebra, Calculus & Probability: Foundations",16,4.2,3536,Aerospace Systems Engineer,aerospace; defense
C000004,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Foundations,Beginner,Udemy,Video Course,"A Aerospace Engineering-focused path through Aerodynamics & Fluid Mechanics. Structured lectures with graded assignments and readings. Covers Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics; hands-on with matlab, ansys fluent, xflr5, openvsp. Graduates move into roles like Aerospace Systems Engineer.","Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics",matlab; ansys fluent; xflr5; openvsp,"Linear Algebra, Calculus & Probability: Foundations",13,4.7,561,Aerospace Systems Engineer,aerospace; defense
C000005,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Foundations — Crash Course,Beginner,edX,Video Course,"Learn Aerodynamics & Fluid Mechanics the applied way -- a condensed, fast-paced overview of only the essentials, doable in a weekend. Skills built: Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics, essentials only, weekend intensive. Toolchain: matlab, ansys fluent, xflr5, openvsp. Relevant careers: Aerospace Systems Engineer.","Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics; essentials only; weekend intensive",matlab; ansys fluent; xflr5; openvsp,"Linear Algebra, Calculus & Probability: Foundations",7,4.4,1432,Aerospace Systems Engineer,aerospace; defense
C000006,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Foundations,Beginner,LinkedIn Learning,Video Course,"Aerodynamics & Fluid Mechanics taught as structured lectures with graded assignments and readings. Aimed at Aerospace Engineering students and career changers. Core skills: Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics. Tools: matlab, ansys fluent, xflr5, openvsp. Prepares you for work as Aerospace Systems Engineer.","Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics",matlab; ansys fluent; xflr5; openvsp,"Linear Algebra, Calculus & Probability: Foundations",15,4.2,375,Aerospace Systems Engineer,aerospace; defense
C000007,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Foundations — Project Track,Beginner,edX,Project-Based,"Aerodynamics & Fluid Mechanics taught as one large end-to-end project delivered in stages, code review, a shippable portfolio outcome. Aimed at Aerospace Engineering students and career changers. Core skills: Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics, portfolio project, real-world scenario. Tools: matlab, ansys fluent, xflr5, openvsp. Prepares you for work as Aerospace Systems Engineer.","Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics; portfolio project; real-world scenario",matlab; ansys fluent; xflr5; openvsp,"Linear Algebra, Calculus & Probability: Foundations",20,4.2,1578,Aerospace Systems Engineer,aerospace; defense
C000008,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Foundations — Deep Theory,Beginner,Great Learning,Self-paced Reading,"Learn Aerodynamics & Fluid Mechanics the applied way -- a rigorous first-principles course with proofs, derivations and links to current research. Skills built: Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics, first principles, derivations, research context. Toolchain: matlab, ansys fluent, xflr5, openvsp. Relevant careers: Aerospace Systems Engineer.","Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics; first principles; derivations; research context",matlab; ansys fluent; xflr5; openvsp,"Linear Algebra, Calculus & Probability: Foundations",18,4.6,693,Aerospace Systems Engineer,aerospace; defense
C000009,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Foundations — Hands-On Lab,Beginner,DataCamp,Interactive Lab,"This course is a foundational introduction to Aerodynamics & Fluid Mechanics for Aerospace Engineering learners -- a lab-first course: you build and break things every module, guided walkthroughs, no long lectures. You practise Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics, lab exercises, debugging practice using matlab, ansys fluent, xflr5, openvsp. Typical next roles: Aerospace Systems Engineer.","Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics; lab exercises; debugging practice",matlab; ansys fluent; xflr5; openvsp,"Linear Algebra, Calculus & Probability: Foundations",17,4.9,1641,Aerospace Systems Engineer,aerospace; defense
C000010,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Foundations — Hands-On Lab,Beginner,Udemy,Interactive Lab,"Aerodynamics & Fluid Mechanics taught as a lab-first course: you build and break things every module, guided walkthroughs, no long lectures. Aimed at Aerospace Engineering students and career changers. Core skills: Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics, lab exercises, debugging practice. Tools: matlab, ansys fluent, xflr5, openvsp. Prepares you for work as Aerospace Systems Engineer.","Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics; lab exercises; debugging practice",matlab; ansys fluent; xflr5; openvsp,"Linear Algebra, Calculus & Probability: Foundations",11,4.4,124,Aerospace Systems Engineer,aerospace; defense
